Geography,Transmission,Disease Type,Symptoms,Disease Name,ICD Code
South Asia,"waterborne,foodborne",bacterial,"profuse diarrhea,vomiting,dehydration,thirst,weakness,leg cramps",Cholera,A00
South Asia,"fecal-oral,foodborne,waterborne",bacterial,"fever,headache,abdominal pain,constipation,malaise,rose spots",Typhoid and paratyphoid fevers,A01
Global,"foodborne,fecal-oral",bacterial,"diarrhea,abdominal cramps,fever,nausea,vomiting,headache",Other salmonella infections,A02
Global,"fecal-oral,person-to-person,foodborne",bacterial,"bloody diarrhea,fever,abdominal cramps,tenesmus,nausea,fatigue",Shigellosis,A03
Global,"foodborne,waterborne",bacterial,"diarrhea,abdominal pain,fever,nausea,vomiting,dehydration",Other bacterial intestinal infections,A04
Global,foodborne,bacterial,"vomiting,nausea,abdominal cramps,diarrhea,sweats,weakness","Other bacterial foodborne intoxications, NEC",A05
South Asia,"fecal-oral,waterborne",parasitic,"diarrhea,abdominal pain,bloody stools,fever,tenesmus,weight loss",Amoebiasis,A06
Global,"waterborne,fecal-oral",parasitic,"diarrhea,bloating,abdominal cramps,flatulence,nausea,fatigue",Other protozoal intestinal diseases,A07
Global,"fecal-oral,person-to-person",viral,"watery diarrhea,vomiting,nausea,abdominal cramps,fever,dehydration",Viral and other specified intestinal infections,A08
Global,"fecal-oral,foodborne",bacterial,"diarrhea,vomiting,abdominal pain,fever,nausea,dehydration",Diarrhea and gastroenteritis of presumed infectious origin,A09
Global,"airborne,droplet",bacterial,"chronic cough,fever,night sweats,weight loss,hemoptysis,fatigue","Respiratory tuberculosis, confirmed",A15
Global,"airborne,droplet",bacterial,"chronic cough,fever,night sweats,weight loss,chest pain,fatigue","Respiratory tuberculosis, not confirmed",A16
Global,"airborne,droplet",bacterial,"fever,headache,neck stiffness,altered mental status,focal deficits,weight loss",Tuberculosis of nervous system,A17
Global,"airborne,droplet",bacterial,"fever,weight loss,night sweats,organ-specific pain,anemia,fatigue",Tuberculosis of other organs,A18
Global,"airborne,droplet",bacterial,"fever,night sweats,weight loss,cough,hepatosplenomegaly,malaise",Miliary tuberculosis,A19
Madagascar,"flea-borne,rodent-borne",bacterial,"sudden fever,painful buboes,chills,headache,weakness,cough",Plague,A20
North America,"tick-borne,aerosol,animal contact",bacterial,"ulcer,fever,lymphadenopathy,chills,headache,fatigue",Tularemia,A21
Global,"spore inhalation,animal contact,foodborne",bacterial,"cutaneous eschar,fever,cough,dyspnea,chest pain,fatigue",Anthrax,A22
Mediterranean,"animal contact,foodborne",bacterial,"undulant fever,sweats,arthralgia,fatigue,headache,back pain",Brucellosis,A23
Southeast Asia,"soil contact,aerosol,waterborne",bacterial,"fever,cough,chest pain,abscesses,weight loss,fatigue",Glanders and melioidosis,A24
Global,"animal bite,animal contact",bacterial,"fever,rash,migratory arthralgia,myalgia,chills,vomiting",Rat-bite fevers,A25
Global,animal contact,bacterial,"painful lesion,erythema,swelling,fever,pruritus,burning",Erysipeloid,A26
Tropics,"waterborne,animal urine",bacterial,"fever,myalgia,headache,jaundice,conjunctival suffusion,abdominal pain",Leptospirosis,A27
