Geography,Transmission,Disease_Type,Symptoms,Label,ICD_Code
South Asia,"non-communicable, dietary, prenatal",non-infectious,"intellectual_disability, stunted_growth, goiter, hypotonia, dry_skin, constipation",Congenital iodine-deficiency syndrome,E00
Sub-Saharan Africa,"non-communicable, dietary",non-infectious,"goiter, hypothyroidism, fatigue, weight_gain, cold_intolerance, constipation",Iodine-deficiency related thyroid disorders,E01
Asia,"non-communicable, dietary",non-infectious,"mild_fatigue, dry_skin, cold_intolerance, constipation, bradycardia, weight_gain",Subclinical iodine-deficiency hypothyroidism,E02
Global,"non-communicable, autoimmune",non-infectious,"fatigue, weight_gain, cold_intolerance, constipation, dry_skin, bradycardia",Other hypothyroidism,E03
Global,non-communicable,non-infectious,"neck_swelling, dysphagia, hoarseness, cough, tightness, cosmetic_concern",Other nontoxic goiter,E04
Global,"non-communicable, autoimmune",non-infectious,"weight_loss, heat_intolerance, palpitations, tremor, anxiety, sweating",Thyrotoxicosis [hyperthyroidism],E05
Global,"non-communicable, autoimmune",non-infectious,"neck_pain, tender_thyroid, fatigue, fever, transient_hyperthyroid, hypothyroid_phase",Thyroiditis,E06
Global,non-communicable,non-infectious,"goiter, dysphagia, fatigue, hormone_imbalance, weight_change, mood_changes",Other disorders of thyroid,E07
Global,"non-communicable, secondary",non-infectious,"polyuria, polydipsia, fatigue, blurred_vision, weight_loss, polyphagia",Diabetes mellitus due to underlying condition,E08
Global,"non-communicable, iatrogenic",non-infectious,"hyperglycemia, polyuria, polydipsia, fatigue, blurred_vision, weight_loss",Drug or chemical induced diabetes mellitus,E09
Europe,"non-communicable, autoimmune",non-infectious,"polyuria, polydipsia, weight_loss, fatigue, blurred_vision, polyphagia",Type 1 diabetes mellitus,E10
Americas,"non-communicable, lifestyle, genetic",non-infectious,"polyuria, polydipsia, fatigue, blurred_vision, recurrent_infections, neuropathy",Type 2 diabetes mellitus,E11
South Asia,"non-communicable, dietary",non-infectious,"polyuria, polydipsia, weight_loss, fatigue, blurred_vision, poor_nutrition",Malnutrition-related diabetes mellitus,E12
Global,non-communicable,non-infectious,"polyuria, polydipsia, fatigue, blurred_vision, weight_change, polyphagia",Other specified diabetes mellitus,E13
Global,non-communicable,non-infectious,"polyuria, polydipsia, fatigue, blurred_vision, weight_change, polyphagia",Unspecified diabetes mellitus,E14
