Geography,Transmission,Disease type,Symptoms (6),Label - Disease Name,ICD code
South-East Asia,"droplet,direct-contact",bacterial,"fever,migratory-arthralgia,carditis,chorea,rash,fatigue",Rheumatic fever without mention of heart involvement,I00
South-East Asia,"droplet,direct-contact",bacterial,"fever,carditis,murmur,dyspnea,fatigue,chest-pain",Rheumatic fever with heart involvement,I01
South-East Asia,"droplet,direct-contact",bacterial,"chorea,behavior-change,weakness,fever,fatigue,slurred-speech",Rheumatic chorea,I02
South-East Asia,"droplet,direct-contact",bacterial,"dyspnea,fatigue,palpitations,edema,chest-pain,murmur",Rheumatic mitral valve diseases,I05
South-East Asia,"droplet,direct-contact",bacterial,"chest-pain,dyspnea,syncope,fatigue,edema,murmur",Rheumatic aortic valve diseases,I06
South-East Asia,"droplet,direct-contact",bacterial,"edema,fatigue,hepatic-congestion,ascites,dyspnea,murmur",Rheumatic tricuspid valve diseases,I07
South-East Asia,"droplet,direct-contact",bacterial,"dyspnea,fatigue,palpitations,edema,chest-pain,murmur",Multiple valve diseases (rheumatic),I08
South-East Asia,"droplet,direct-contact",bacterial,"dyspnea,fatigue,palpitations,edema,chest-pain,murmur",Other rheumatic heart diseases,I09
Global,non-communicable,noninfectious,"asymptomatic,headache,dizziness,vision-blur,chest-pain,shortness-of-breath",Essential (primary) hypertension,I10
Global,non-communicable,noninfectious,"asymptomatic,headache,dizziness,vision-blur,chest-pain,shortness-of-breath",Hypertensive heart disease,I11
Global,non-communicable,noninfectious,"asymptomatic,headache,dizziness,vision-blur,chest-pain,shortness-of-breath",Hypertensive chronic kidney disease,I12
Global,non-communicable,noninfectious,"asymptomatic,headache,dizziness,vision-blur,chest-pain,shortness-of-breath",Hypertensive heart and chronic kidney disease,I13
Global,non-communicable,noninfectious,"asymptomatic,headache,dizziness,vision-blur,chest-pain,shortness-of-breath",Secondary hypertension,I15
Global,non-communicable,noninfectious,"asymptomatic,headache,dizziness,vision-blur,chest-pain,shortness-of-breath",Hypertensive crisis,I16
Global,non-communicable,noninfectious,"chest-pain,exertional-dyspnea,fatigue,diaphoresis,nausea,jaw-pain",Angina pectoris,I20
Global,non-communicable,noninfectious,"chest-pain,diaphoresis,shortness-of-breath,nausea,vomiting,anxiety",Acute myocardial infarction,I21
Global,non-communicable,noninfectious,"chest-pain,diaphoresis,shortness-of-breath,nausea,weakness,anxiety",Subsequent myocardial infarction,I22
Global,non-communicable,noninfectious,"arrhythmia,heart-failure,chest-pain,fever,murmur,pericardial-pain",Certain current complications following acute myocardial infarction,I23
Global,non-communicable,noninfectious,"chest-pain,shortness-of-breath,fatigue,diaphoresis,dizziness,nausea",Other acute ischemic heart diseases,I24
Global,non-communicable,noninfectious,"exertional-angina,dyspnea,fatigue,palpitations,edema,chest-discomfort",Chronic ischemic heart disease,I25
Global,non-communicable,noninfectious,"sudden-dyspnea,pleuritic-chest-pain,tachycardia,cough,hemoptysis,syncope",Pulmonary embolism,I26
Global,non-communicable,noninfectious,"exertional-dyspnea,fatigue,syncope,chest-pain,edema,palpitations",Other pulmonary heart diseases,I27
Global,non-communicable,noninfectious,"dyspnea,chest-pain,cough,fatigue,hemoptysis,dizziness",Other diseases of pulmonary vessels,I28
Global,droplet,viral,"chest-pain,fever,pericardial-friction-rub,dyspnea,worse-when-supine,relief-leaning-forward",Acute pericarditis,I30
Global,non-communicable,noninfectious,"chest-pain,dyspnea,edema,fatigue,cough,tachycardia",Other diseases of pericardium,I31
Global,"droplet,fecal-oral",viral,"chest-pain,fever,pericardial-friction-rub,dyspnea,fatigue,cough",Pericarditis in diseases classified elsewhere,I32
Global,"bloodborne,healthcare-associated",bacterial,"fever,murmur,fatigue,night-sweats,petechiae,weight-loss",Acute and subacute endocarditis,I33
Global,non-communicable,noninfectious,"murmur,dyspnea,fatigue,palpitations,edema,chest-pain",Nonrheumatic mitral valve disorders,I34
