Geography,Transmission,Disease_type,Symptoms,Disease_Name,ICD_code
Worldwide,"droplet,airborne,contact",viral,"runny nose,sore throat,cough,sneezing,low-grade fever,nasal congestion",Acute nasopharyngitis [common cold],J00
Worldwide,"droplet,contact",bacterial,"facial pain,nasal congestion,headache,postnasal drip,fever,reduced smell",Acute sinusitis,J01
Worldwide,"droplet,contact",viral,"sore throat,fever,dysphagia,tonsillar exudate,hoarseness,neck pain",Acute pharyngitis,J02
Worldwide,"droplet,contact",bacterial,"sore throat,fever,tonsillar exudate,odynophagia,swollen lymph nodes,bad breath",Acute tonsillitis,J03
Worldwide,"droplet,contact",viral,"hoarseness,cough,voice loss,sore throat,low-grade fever,laryngeal pain",Acute laryngitis and tracheitis,J04
Worldwide,"droplet,airborne",viral,"barking cough,stridor,hoarseness,fever,dyspnea,restlessness",Acute obstructive laryngitis [croup] and epiglottitis,J05
Worldwide,"droplet,contact",viral,"cough,sore throat,nasal congestion,fever,headache,fatigue",Acute upper respiratory infections of multiple and unspecified sites,J06
Worldwide,"airborne,droplet,contact",viral,"fever,myalgia,cough,sore throat,fatigue,headache",Influenza due to certain identified influenza virus,J09
Worldwide,"airborne,droplet,contact",viral,"fever,myalgia,cough,sore throat,fatigue,headache",Influenza due to other identified influenza virus,J10
Worldwide,"airborne,droplet,contact",viral,"fever,myalgia,cough,sore throat,fatigue,headache","Influenza, virus not identified",J11
Worldwide,"airborne,droplet",viral,"fever,cough,shortness of breath,chest pain,fatigue,myalgia","Viral pneumonia, not elsewhere classified",J12
Worldwide,"droplet,airborne",bacterial,"fever,cough,productive sputum,pleuritic chest pain,shortness of breath,chills",Pneumonia due to Streptococcus pneumoniae,J13
Worldwide,"droplet,airborne",bacterial,"fever,cough,shortness of breath,sputum,pleuritic chest pain,malaise",Pneumonia due to Haemophilus influenzae,J14
Worldwide,"droplet,airborne",bacterial,"fever,cough,chest pain,dyspnea,sputum,chills","Bacterial pneumonia, not elsewhere classified",J15
Worldwide,"droplet,airborne",bacterial,"fever,cough,dyspnea,chest pain,sputum,lethargy",Pneumonia due to other infectious organisms,J16
Worldwide,"airborne,droplet",bacterial,"fever,cough,shortness of breath,chest pain,fatigue,sputum",Pneumonia in diseases classified elsewhere,J17
Worldwide,"airborne,droplet",bacterial,"fever,cough,chest pain,dyspnea,sputum,chills","Pneumonia, unspecified organism",J18
Worldwide,"droplet,airborne,contact",viral,"cough,sputum production,wheeze,shortness of breath,chest discomfort,fever",Acute bronchitis,J20
Worldwide,"droplet,contact",viral,"wheeze,cough,shortness of breath,cyanosis,fever,poor feeding",Acute bronchiolitis,J21
Worldwide,"droplet,airborne",viral,"cough,fever,dyspnea,chest pain,sputum,fatigue",Unspecified acute lower respiratory infection,J22
Worldwide,"non-communicable,allergic,environmental",non-infectious,"sneezing,runny nose,nasal congestion,itchy eyes,postnasal drip,cough",Vasomotor and allergic rhinitis,J30
Worldwide,"non-communicable,environmental",non-infectious,"chronic nasal congestion,sore throat,postnasal drip,cough,hoarseness,loss of smell","Chronic rhinitis, nasopharyngitis and pharyngitis",J31
Worldwide,"non-communicable,environmental",non-infectious,"facial pain,nasal congestion,postnasal drip,headache,loss of smell,fatigue",Chronic sinusitis,J32
Worldwide,"non-communicable,allergic",non-infectious,"nasal obstruction,reduced smell,nasal discharge,facial pain,breathing difficulty,snoring",Nasal polyp,J33
Worldwide,"non-communicable,environmental",non-infectious,"nasal obstruction,epistaxis,facial pain,nasal discharge,anosmia,postnasal drip",Other disorders of nose and nasal sinuses,J34
Worldwide,"non-communicable,infectious",non-infectious,"recurrent sore throat,halitosis,tonsillar hypertrophy,obstructive sleep apnea,fever,dysphagia",Chronic diseases of tonsils and adenoids,J35
Worldwide,"droplet,contact",bacterial,"severe sore throat,fever,uvular deviation,dysphagia,odynophagia,muffled voice",Peritonsillar abscess,J36
Worldwide,"non-communicable,smoking-related",non-infectious,"hoarseness,chronic cough,throat clearing,sore throat,voice fatigue,dyspnea on exertion",Chronic laryngitis and laryngotracheitis,J37
Worldwide,"non-communicable,trauma",non-infectious,"hoarseness,voice change,dysphonia,throat pain,cough,breathing difficulty",Diseases of vocal cords and larynx,J38
Worldwide,varied,non-infectious,"sore throat,nasal congestion,cough,odynophagia,ear pain,hoarseness",Other diseases of upper respiratory tract,J39
Worldwide,"airborne,contact",non-infectious,"cough,sputum,wheeze,dyspnea,chest discomfort,fatigue","Bronchitis, not specified as acute or chronic",J40
Worldwide,"non-communicable,smoking-related",non-infectious,"chronic cough,sputum production,wheeze,dyspnea,frequent infections,exercise intolerance",Simple and mucopurulent chronic bronchitis,J41
Worldwide,"non-communicable,smoking-related",non-infectious,"chronic cough,sputum,dyspnea,wheeze,exercise limitation,frequent exacerbations",Unspecified chronic bronchitis,J42
Worldwide,"non-communicable,smoking-related",non-infectious,"dyspnea,chronic cough,barrel chest,wheeze,exercise intolerance,weight loss",Emphysema,J43
Worldwide,"non-communicable,smoking-related,environmental",non-infectious,"dyspnea,chronic cough,sputum,wheeze,exercise intolerance,frequent exacerbations",Other chronic obstructive pulmonary disease,J44
Worldwide,"non-communicable,allergic,environmental",non-infectious,"wheeze,shortness of breath,chest tightness,cough,night symptoms,exercise-induced wheeze",Asthma,J45
Worldwide,"non-communicable,allergic",non-infectious,"severe dyspnea,wheeze,cough,cyanosis,respiratory distress,altered consciousness",Status asthmaticus,J46
Worldwide,"non-communicable,post-infectious",non-infectious,"chronic productive cough,hemoptysis,recurrent infections,dyspnea,clubbing,fatigue",Bronchiectasis,J47
Worldwide,"occupational,inhalation",non-infectious,"progressive dyspnea,chronic cough,exercise intolerance,chest pain,weight loss,clubbing",Pneumoconiosis due to coal dust,J60
Worldwide,"occupational,inhalation",non-infectious,"dyspnea,cough,pleuritic pain,clubbing,crackles,reduced exercise tolerance",Pneumoconiosis due to asbestos and other mineral fibers,J61
Worldwide,"occupational,inhalation",non-infectious,"progressive dyspnea,cough,fever,chest pain,weight loss,clubbing",Pneumoconiosis due to dust containing silica,J62
Worldwide,"occupational,inhalation",non-infectious,"progressive dyspnea,cough,chronic respiratory failure,weight loss,clubbing,frequent infections",Pneumoconiosis due to other inorganic dusts,J63
Worldwide,"occupational,inhalation",non-infectious,"progressive dyspnea,chronic cough,exercise intolerance,chest pain,clubbing,respiratory failure",Unspecified pneumoconiosis,J64
Worldwide,"occupational,airborne",bacterial,"cough,hemoptysis,fever,night sweats,weight loss,dyspnea",Pneumoconiosis associated with tuberculosis,J65
Worldwide,"occupational,inhalation",non-infectious,"cough,wheeze,dyspnea,chest tightness,exacerbations,fatigue",Airway disease due to specific organic dust,J66
Worldwide,"environmental,occupational,inhalation",non-infectious,"dyspnea,cough,fever,chills,malaise,weight loss",Hypersensitivity pneumonitis due to organic dust,J67
Worldwide,"occupational,inhalation,environmental",non-infectious,"cough,dyspnea,chest pain,wheezing,irritation,persistent cough","Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors",J68
Worldwide,"aspiration,non-communicable",non-infectious,"cough,fever,dyspnea,aspiration episodes,chest pain,cyanosis",Pneumonitis due to solids and liquids (aspiration pneumonitis),J69
Worldwide,"occupational,inhalation",non-infectious,"dyspnea,cough,respiratory failure,chest pain,wheeze,fatigue",Respiratory conditions due to other external agents,J70
Worldwide,"non-communicable,complication",non-infectious,"severe dyspnea,hypoxia,tachypnea,cyanosis,confusion,cough",Acute respiratory distress syndrome,J80
Worldwide,"non-communicable,cardiogenic",non-infectious,"dyspnea,orthopnea,paroxysmal nocturnal dyspnea,cough,frothy sputum,cyanosis",Pulmonary edema,J81
Worldwide,"parasitic,allergic",parasitic,"cough,wheeze,dyspnea,fever,eosinophilia,chest infiltrates","Pulmonary eosinophilia, not elsewhere classified",J82
Worldwide,varied,non-infectious,"progressive dyspnea,dry cough,fatigue,crackles,clubbing,gradual exercise intolerance",Other interstitial pulmonary diseases,J84
Worldwide,"aspiration,bacterial",bacterial,"fever,productive cough,pleuritic chest pain,shortness of breath,weight loss,malaise",Abscess of lung and mediastinum,J85
Worldwide,"bacterial,aspiration",bacterial,"fever,pleuritic chest pain,productive cough,dyspnea,chills,empyema",Pyothorax (empyema),J86
Worldwide,"non-communicable,fluid-related",non-infectious,"shortness of breath,cough,chest discomfort,reduced exercise tolerance,orthopnea,fatigue","Pleural effusion, not elsewhere classified",J90
Worldwide,related to underlying disease,non-infectious,"dyspnea,chest pain,cough,weight loss,malignancy-related signs,pleural fluid",Pleural effusion in conditions classified elsewhere,J91
Worldwide,"occupational,environmental",non-infectious,"chest pain,shortness of breath,pleuritic pain,asymptomatic findings,pleural plaques,sometimes cough",Pleural plaque,J92
Worldwide,"spontaneous,traumatic",non-infectious,"sudden chest pain,dyspnea,subcutaneous emphysema,hypoxia,cough,hemodynamic instability",Pneumothorax and air leak,J93
Worldwide,"trauma,postprocedural",non-infectious,"chronic pleural changes,fibrosis,restricted lung expansion,chest pain,dyspnea,history of prior empyema",Other pleural conditions,J94
Worldwide,"procedural,iatrogenic",non-infectious,"post-op dyspnea,airway complications,hemorrhage,respiratory insufficiency,fever,persistent cough",Intraoperative and postprocedural complications and disorders of respiratory system,J95
Worldwide,"non-communicable,complication",non-infectious,"acute dyspnea,low oxygen saturation,hypercapnia,tachypnea,confusion,cyanosis","Respiratory failure, not elsewhere classified",J96
Worldwide,associated with other diseases,non-infectious,"dyspnea,cough,respiratory compromise,signs related to primary disease,oxygen desaturation,exercise intolerance",Other respiratory disorders,J98
