Geography,Transmission,Disease Type,Symptoms,Disease Name,ICD Code, Disease Group
South Asia,"waterborne, fecal-oral, poor sanitation",bacterial,"profuse diarrhea, dehydration, shock, vomiting, rapid heart rate, low blood pressure",Cholera,A00,Intestinal Infectious Diseases
Global/Developing Nations,"contaminated food, poor hygiene, fecal-oral",bacterial,"sustained high fever, headache, abdominal pain, rose spots, malaise, constipation",Typhoid Fever,A01,Intestinal Infectious Diseases
Americas,"contaminated food, poultry, pet reptiles",bacterial,"diarrhea, abdominal cramps, fever, vomiting, nausea, bloody stool",Other salmonella infections,A02,Intestinal Infectious Diseases
Sub-Saharan Africa,"fecal-oral, direct contact, waterborne",bacterial,"bloody diarrhea, abdominal cramps, fever, tenesmus, dehydration, vomiting",Shigellosis,A03,Intestinal Infectious Diseases
Global,"ingestion, contaminated food, poor cooking",bacterial,"diarrhea, cramping, nausea, vomiting, fever, abdominal tenderness",Other bacterial intestinal infections,A04,Intestinal Infectious Diseases
Global,"toxins, improper storage, raw foods",bacterial,"rapid onset, nausea, vomiting, abdominal pain, dizziness, weakness",Other bacterial food poisoning,A05,Intestinal Infectious Diseases
Indian Subcontinent,"contaminated water, fecal-oral, poor sanitation",parasitic,"bloody diarrhea, stomach pain, fever, fatigue, weight loss, liver abscess",Amoebiasis,A06,Intestinal Infectious Diseases
Americas/Europe,"waterborne, direct contact, host-to-host",parasitic,"watery diarrhea, bloating, gas, cramps, greasy stools, weight loss",Other protozoal intestinal diseases,A07,Intestinal Infectious Diseases
Global,"airborne droplets, fecal-oral, fomites",viral,"vomiting, watery diarrhea, low-grade fever, abdominal cramps, nausea, muscle aches",Viral and other specified intestinal infections,A08,Intestinal Infectious Diseases
Global,"fecal-oral, contact, contaminated food",viral,"diarrhea, vomiting, dehydration, abdominal discomfort, fever, loss of appetite","Infectious gastroenteritis and colitis, unspecified",A09,Intestinal Infectious Diseases
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis confirmed,A15,Tuberculosis
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis not confirmed,A16,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"severe headache, neck stiffness, confusion, vision changes, fever, seizures",Tuberculosis of nervous system,A17,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"local pain, fever, organ dysfunction, weight loss, fatigue, swollen glands",Tuberculosis of other organs,A18,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"high fever, chills, weakness, breathing issues, enlarged spleen, skin lesions",Miliary tuberculosis,A19,Tuberculosis
Central Asia,"flea bites, rodent contact, airborne",bacterial,"sudden fever, chills, headache, painful lymph nodes (buboes), weakness, coughing",Plague,A20,Certain Zootonic Bacterial Diseases
North America,"insect bites, handling animals, inhalation",bacterial,"fever, skin ulcer, swollen lymph nodes, headache, joint pain, nausea",Tularemia,A21,Certain Zootonic Bacterial Diseases
Global/Agricultural,"spores, contact with animals, contaminated products",bacterial,"skin sore, fever, chills, nausea, headache, difficulty breathing",Anthrax,A22,Certain Zootonic Bacterial Diseases
Mediterranean/Middle East,"unpasteurized dairy, animal contact, inhalation",bacterial,"undulating fever, joint pain, sweating, fatigue, back pain, loss of appetite",Brucellosis,A23,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, soil contact, inhalation",bacterial,"fever, muscle aches, chest pain, coughing, lung nodules, abscesses",Glanders and melioidosis,A24,Certain Zootonic Bacterial Diseases
Asia,"rat bite, rodent urine, contaminated food",bacterial,"fever, chills, vomiting, joint pain, rash, muscle aches",Rat-bite fever,A25,Certain Zootonic Bacterial Diseases
Global/Occupational,"handling infected meat, skin puncture, cuts",bacterial,"purple skin lesion, fever, joint pain, swollen lymph nodes, general illness, headache",Erysipeloid,A26,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, animal urine, skin contact",bacterial,"high fever, headache, muscle aches, jaundice, vomiting, red eyes",Leptospirosis,A27,Certain Zootonic Bacterial Diseases
Global,"animal contact, bites, environmental",bacterial,"fever, localized swelling, headache, general weakness, nausea, joint pain",Other zoonotic bacterial diseases,A28,Certain Zootonic Bacterial Diseases
South America,"airborne droplets, close contact, prolonged exposure",bacterial,"skin lesions, nerve damage, muscle weakness, sensory loss, eye problems, nosebleeds",Leprosy [Hansen's disease],A30,Other Bacterial Diseases
Global/Immunocompromised,"environmental, soil contact, aerosols",bacterial,"lung disease, swollen lymph nodes, skin ulcers, fever, weight loss, fatigue",Infection due to other mycobacteria,A31,Other Bacterial Diseases
Global,"contaminated food, raw dairy, soil",bacterial,"fever, muscle aches, diarrhea, stiff neck, confusion, convulsions",Listeriosis,A32,Other Bacterial Diseases
Developing Nations,"non-sterile delivery, umbilical cord infection",bacterial,"muscle spasms, difficulty feeding, irritability, lockjaw, arching of back, seizures",Tetanus neonatorum,A33,Other Bacterial Diseases
Developing Nations,"non-sterile birth, wound infection",bacterial,"muscle spasms, lockjaw, stiff neck, fever, irritability, sweating",Obstetrical tetanus,A34,Other Bacterial Diseases
Global/Unvaccinated,"deep puncture wound, soil contamination",bacterial,"muscle spasms, lockjaw, stiff neck, headache, fever, excessive sweating",Other tetanus,A35,Other Bacterial Diseases
Global/Unvaccinated,"airborne droplets, direct contact, fomites",bacterial,"sore throat, fever, swollen neck glands, difficulty breathing, bluish skin, nasal discharge",Diphtheria,A36,Other Bacterial Diseases
Global/Infants,"airborne droplets, direct contact, coughing",bacterial,"severe coughing fits, vomiting after cough, ""whoop"" sound, runny nose, fatigue, apnea",Whooping cough,A37,Other Bacterial Diseases
Global,"airborne droplets, direct contact, saliva",bacterial,"sore throat, high fever, bright red rash, strawberry tongue, headache, chills",Scarlet fever,A38,Other Bacterial Diseases
Sub-Saharan Africa,"airborne droplets, saliva, close contact",bacterial,"sudden fever, stiff neck, severe headache, photophobia, rash, confusion",Meningococcal infection,A39,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Streptococcal septicaemia,A40,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Other septicaemia,A41,Other Bacterial Diseases
Global,"normal flora, dental procedure, trauma",bacterial,"painful swelling, abscesses, draining sinus tracts, fever, weight loss, fatigue",Actinomycosis,A42,Other Bacterial Diseases
Global/Immunocompromised,"inhalation, soil contact, skin trauma",bacterial,"persistent cough, chest pain, fever, shortness of breath, skin lesions, weight loss",Nocardiosis,A43,Other Bacterial Diseases
South America,"sandfly bite, cat scratch, lice",bacterial,"fever, headache, fatigue, swollen glands, skin lesions, body aches",Bartonellosis,A44,Other Bacterial Diseases
Global,"skin break, open wound, direct contact",bacterial,"bright red skin rash, raised border, fever, chills, headache, general malaise",Erysipelas,A46,Other Bacterial Diseases
Global,"various, contact, inhalation",bacterial,"fever, localized symptoms, headache, fatigue, inflammation, body aches","Other bacterial diseases, not elsewhere classified",A48,Other Bacterial Diseases
Global,"various, unknown source",bacterial,"fever, inflammation, fatigue, chills, body aches, localized pain",Bacterial infection of unspecified site,A49,Other Bacterial Diseases
Global,"mother-to-child, vertical transmission",bacterial,"rash, runny nose, hepatosplenomegaly, bone deformities, anemia, jaundice",Congenital syphilis,A50,STDs
Global,"sexual contact, direct contact",bacterial,"painless chancre, rash, swollen lymph nodes, fever, sore throat, hair loss",Early syphilis,A51,STDs
Global,"sexual contact, direct contact",bacterial,"neurological damage, heart problems, gummas, blindness, dementia, paralysis",Late syphilis,A52,STDs
Global,"sexual contact, direct contact",bacterial,"varied, non-specific symptoms, fever, malaise, rash, headache, muscle pain",Other and unspecified syphilis,A53,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, fever, joint swelling, sore throat",Gonococcal infection,A54,STDs
"Africa, Asia, S America","sexual contact, direct contact",bacterial,"swollen lymph nodes, fever, joint pain, headache, rectal pain, genital ulcers",Chlamydial lymphogranuloma (venereum),A55,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, testicular pain, rectal pain, sore throat",Other sexually transmitted chlamydial diseases,A56,STDs
"Africa, Asia","sexual contact, direct contact",bacterial,"painful genital ulcer, swollen lymph nodes, fever, pus discharge, burning sensation, headache",Chancroid,A57,STDs
Developing Countries,"sexual contact, direct contact",bacterial,"progressive genital ulcers, bleeding, swelling, pain, lack of lymph node involvement",Granuloma inguinale,A58,STDs
Global,"sexual contact, direct contact, fomites",parasitic,"discharge, itching, painful urination, abdominal pain, foul odor, spotting",Trichomoniasis,A59,STDs
Global,"sexual contact, direct contact, skin-to-skin",viral,"painful blisters, ulcers, itching, flu-like symptoms, lymph node swelling, painful urination",Anogenital herpesviral infection,A60,STDs
Global,"sexual contact, direct contact",bacterial,"genital lesions, discharge, pain, itching, swelling, fever","Other predominantly sexually transmitted diseases, NEC",A63,STDs
Global,"sexual contact, unknown",viral,"discharge, pain, itching, rash, fever, malaise",Unspecified sexually transmitted disease,A64,STDs
"Africa, Middle East","non-sexual contact, oral contact, direct contact",bacterial,"skin lesions, bone damage, gummas, painless ulcers, nerve deafness, eye inflammation",Nonvenereal syphilis,A65,Other spirochaetal diseases
"Africa, Southeast Asia","skin contact, direct contact, non-sexual contact",bacterial,"painless skin nodules, bone pain, joint swelling, skin ulcers, fever, rash",Yaws,A66,Other spirochaetal diseases
Latin America,"skin contact, direct contact",bacterial,"initial skin lesion, white skin patches, hyperpigmentation, itching, rash, scaling",Pinta (carate),A67,Other spirochaetal diseases
"Africa, Asia","tick vector, louse vector, direct contact",bacterial,"recurring high fever, headache, muscle aches, nausea, rash, vomiting",Relapsing fevers,A68,Other spirochaetal diseases
Global,"tick bite, animal contact, direct contact",bacterial,"fever, rash, joint pain, headache, fatigue, neurological symptoms",Other spirochaetal infections,A69,Other spirochaetal diseases
Global/Birds,"avian aerosols, bird droppings, inhalation",bacterial,"fever, headache, dry cough, chest pain, muscle aches, chills",Infection due to Chlamydia psittaci,A70,Other diseases caused by clamydiae
"Africa, Middle East","eye discharge, direct contact, flies",bacterial,"painful eyes, inflammation, discharge, in-turned eyelashes, blurred vision, scarring",Trachoma,A71,Other diseases caused by clamydiae
Global,"various, contact, aerosols",bacterial,"fever, localized inflammation, headache, body aches, joint pain, fatigue",Other diseases caused by Chlamydiae,A74,Other diseases caused by clamydiae
Global/Poverty Areas,"louse vector, flea vector, body fluids",bacterial,"high fever, severe headache, rash, muscle aches, chills, confusion",Typhus fever,A75,Rickettsioses
Global/Americas,"tick vector, animal contact, insect bites",bacterial,"fever, headache, rash, muscle pain, nausea, vomiting",Spotted fever [rickettsioses],A77,Rickettsioses
Global/Livestock,"inhalation, contaminated milk, animal contact",bacterial,"high fever, severe headache, dry cough, chest pain, fatigue, night sweats",Q fever,A78,Rickettsioses
Global,"insect vector, animal contact",bacterial,"fever, rash, headache, muscle aches, malaise, chills",Other rickettsioses,A79,Rickettsioses
"Asia, Africa","fecal-oral, direct contact, waterborne",viral,"fever, fatigue, vomiting, stiff neck, muscle weakness, paralysis",Acute poliomyelitis,A80
Global,"unknown, direct contact, droplet",viral,"slow onset, neurological changes, cognitive decline, ataxia, vision loss, seizure",Atypical virus infections of central nervous system,A81
Global/Zoonotic,"animal bite, saliva contact, direct contact",viral,"fever, headache, confusion, hydrophobia, muscle spasms, paralysis",Rabies,A82
Global/Tropical,"mosquito vector, insect bite",viral,"fever, headache, vomiting, stiff neck, confusion, seizures",Mosquito-borne viral encephalitis,A83
"Europe, Asia","tick vector, unpasteurized milk, blood transfusion",viral,"fever, headache, vomiting, stiff neck, confusion, dizziness",Tick-borne viral encephalitis,A84
Global,"various, direct contact, airborne",viral,"fever, headache, confusion, seizures, stiff neck, nausea","Other viral encephalitis, not elsewhere classified",A85
Global,"unknown, vector-borne",viral,"fever, headache, confusion, seizures, stiff neck, nausea",Unspecified viral encephalitis,A86
Global,"airborne droplets, direct contact, fecal-oral",viral,"sudden fever, severe headache, stiff neck, nausea, vomiting, photophobia",Viral meningitis,A87
Global,"direct contact, unknown",viral,"fever, headache, vomiting, rash, malaise, body aches","Other viral infections of central nervous system, NEC",A88
Global,unknown,viral,"fever, headache, fatigue, stiff neck, confusion, vomiting",Unspecified viral infection of central nervous system,A89
Southeast Asia,"mosquito vector (Aedes), insect bite",viral,"high fever, severe headache, joint pain, muscle pain, rash, eye pain",Dengue fever,A90
Southeast Asia,"mosquito vector (Aedes), insect bite",viral,"high fever, internal bleeding, shock, abdominal pain, persistent vomiting, severe fatigue",Dengue haemorrhagic fever,A91
"Americas, Africa","mosquito vector, insect bite",viral,"fever, headache, joint pain, rash, muscle aches, eye pain",Other mosquito-borne viral fevers,A92
Global,"tick vector, flea vector, insect bite",viral,"fever, headache, muscle aches, rash, nausea, chills","Other arthropod-borne viral fevers, NEC",A93
Global,"insect vector, unknown",viral,"fever, headache, muscle aches, rash, malaise, chills",Unspecified arthropod-borne viral fever,A94
Sub-Saharan Africa,"mosquito vector (Aedes), insect bite",viral,"fever, jaundice, bleeding, shock, vomiting blood, headache",Yellow fever,A95
South America,"rodent urine/faeces, inhalation, direct contact",viral,"fever, muscle aches, headache, malaise, bleeding gums, neurological signs",Arenaviral haemorrhagic fever,A96
Southeast Asia,"mosquito vector (Aedes), insect bite",viral,"abnormal liver function, abdominal tenderness, circulatory failure, mucosal bleeding, low platelet count, persistent vomiting",Severe Dengue (Dengue haemorrhagic fever/shock syndrome),A97
Africa,"vector, animal contact, bodily fluids",viral,"high fever, severe headache, bleeding, shock, muscle aches, fatigue","Other viral haemorrhagic fevers, not elsewhere classified",A98
Global,"unknown, vector",viral,"high fever, headache, fatigue, bleeding, shock, muscle aches",Unspecified viral haemorrhagic fever,A99
Worldwide,"['contact', 'saliva', 'sexual']",viral,"['cold sores', 'genital ulcers', 'fever', 'blisters', 'body aches', 'swollen lymph nodes']",Herpesviral infections,B00
Worldwide,"['airborne', 'droplet', 'contact']",viral,"['rash', 'fever', 'itching', 'fatigue', 'headache', 'loss of appetite']",Varicella (chickenpox),B01
Worldwide,"['contact', 'reactivation', 'droplet']",viral,"['painful rash', 'blisters', 'burning sensation', 'numbness', 'itching', 'fever']",Zoster (shingles),B02
Worldwide (Eradicated),"['airborne', 'droplet', 'contact']",viral,"['high fever', 'rash', 'pustules', 'headache', 'back pain', 'vomiting']",Smallpox,B03
Central and West Africa,"['animal bite', 'contact', 'droplet']",viral,"['fever', 'rash', 'swollen lymph nodes', 'headache', 'muscle aches', 'exhaustion']",Monkeypox,B04
Worldwide,"['airborne', 'droplet', 'contact']",viral,"['fever', 'cough', 'runny nose', 'red eyes', 'Koplik spots', 'full-body rash']",Measles,B05
Worldwide,"['airborne', 'droplet', 'contact']",viral,"['mild fever', 'rash', 'swollen lymph nodes', 'headache', 'joint pain', 'runny nose']",Rubella (German measles),B06
Worldwide,"['contact', 'autoinoculation', 'fomites']",viral,"['flesh-colored growths', 'rough texture', 'small black dots', 'itching', 'discomfort', 'painless lumps']",Viral warts,B07
Worldwide,"['contact', 'droplet', 'sexual']",viral,"['blisters', 'ulcers', 'rash', 'fever', 'sore throat', 'swollen lymph nodes']",Other viral infections with skin/mucous membrane lesions,B08
Worldwide,"['contact', 'droplet', 'airborne']",viral,"['rash', 'fever', 'blisters', 'lesions', 'malaise', 'itching']",Unspecified viral infection with skin/mucous membrane lesions,B09
Worldwide,"['fecal-oral', 'contaminated food', 'contaminated water']",viral,"['fatigue', 'nausea', 'jaundice', 'abdominal pain', 'dark urine', 'loss of appetite']",Acute hepatitis A,B15
Worldwide,"['bloodborne', 'sexual', 'perinatal']",viral,"['jaundice', 'fatigue', 'abdominal pain', 'dark urine', 'joint pain', 'nausea']",Acute hepatitis B,B16
Worldwide,"['bloodborne', 'sexual', 'fecal-oral']",viral,"['jaundice', 'fatigue', 'nausea', 'abdominal pain', 'fever', 'dark urine']",Other acute viral hepatitis,B17
Worldwide,"['bloodborne', 'sexual', 'perinatal']",viral,"['fatigue', 'jaundice', 'abdominal swelling', 'leg swelling', 'bruising easily', 'confusion']",Chronic viral hepatitis,B18
Worldwide,"['bloodborne', 'sexual', 'fecal-oral']",viral,"['fatigue', 'mild fever', 'nausea', 'jaundice', 'abdominal discomfort', 'muscle aches']",Unspecified viral hepatitis,B19
Worldwide,"['sexual', 'bloodborne', 'perinatal']",viral,"['fever', 'fatigue', 'swollen lymph nodes', 'weight loss', 'night sweats', 'recurrent infections']",Human immunodeficiency virus [HIV] disease,B20-B24
Worldwide,"['saliva', 'blood', 'sexual']",viral,"['prolonged fever', 'fatigue', 'pneumonia', 'vision problems', 'diarrhea', 'weight loss']",Cytomegaloviral disease,B25
Worldwide,"['droplet', 'saliva', 'contact']",viral,"['swollen salivary glands', 'fever', 'headache', 'muscle aches', 'fatigue', 'pain while chewing']",Mumps,B26
Worldwide,"['saliva', 'droplet', 'contact']",viral,"['fatigue', 'fever', 'sore throat', 'swollen lymph nodes', 'headache', 'rash']",Infectious mononucleosis,B27
Worldwide,"['contact', 'fomites', 'droplet']",viral,"['red eyes', 'watery discharge', 'itching', 'gritty feeling', 'light sensitivity', 'crusting of eyelids']",Viral conjunctivitis,B30
Worldwide,"['vector-borne', 'droplet', 'contact']",viral,"['fever', 'rash', 'headache', 'joint pain', 'malaise', 'hemorrhage']","Other viral diseases, not elsewhere classified",B33
Worldwide,"['airborne', 'contact', 'vector-borne']",viral,"['fever', 'cough', 'sore throat', 'runny nose', 'body aches', 'fatigue']",Viral infection of unspecified site,B34
Worldwide,"['contact', 'fomites', 'soil']",fungal,"['itching rash', 'ring-shaped rash', 'scaly skin', 'hair loss', 'cracked skin', 'blisters']",Dermatophytosis (Ringworm),B35
Worldwide,"['contact', 'environment', 'overgrowth']",fungal,"['discolored skin patches', 'scaly skin', 'mild itching', 'powdery skin texture', 'skin discoloration', 'folliculitis']",Other superficial mycoses,B36
Worldwide,"['overgrowth', 'contact', 'immunosuppression']",fungal,"['white patches', 'soreness', 'redness', 'itching', 'cottage cheese discharge', 'pain during swallowing']",Candidiasis,B37
Americas (Southwest US),"['inhalation', 'soil', 'dust']",fungal,"['fever', 'cough', 'chest pain', 'fatigue', 'headache', 'night sweats']",Coccidioidomycosis,B38
Americas (Ohio/Mississippi River valleys),"['inhalation', 'bird droppings', 'bat guano']",fungal,"['fever', 'cough', 'fatigue', 'chills', 'headache', 'chest pain']",Histoplasmosis,B39
North America,"['inhalation', 'soil', 'wood']",fungal,"['fever', 'cough', 'night sweats', 'muscle aches', 'weight loss', 'chest pain']",Blastomycosis,B40
Central and South America,"['inhalation', 'soil', 'trauma']",fungal,"['mouth ulcers', 'skin lesions', 'cough', 'fever', 'weight loss', 'swollen lymph nodes']",Paracoccidioidomycosis,B41
Worldwide (Tropical/Subtropical),"['thorn prick', 'soil', 'plant matter']",fungal,"['painless skin nodules', 'ulcers', 'lesions along lymphatics', 'joint pain', 'cough', 'shortness of breath']",Sporotrichosis,B42
Worldwide (Tropical/Subtropical),"['trauma', 'soil', 'wood']",fungal,"['warty skin lesions', 'cauliflower-like nodules', 'slow-growing bumps', 'itching', 'pus drainage', 'abscess']",Chromomycosis and phaeomycotic abscess,B43
Worldwide,"['inhalation', 'environment', 'compost']",fungal,"['cough', 'wheezing', 'fever', 'shortness of breath', 'chest pain', 'coughing up blood']",Aspergillosis,B44
Worldwide,"['inhalation', 'bird droppings', 'soil']",fungal,"['headache', 'fever', 'neck stiffness', 'nausea', 'confusion', 'light sensitivity']",Cryptococcosis,B45
Worldwide,"['inhalation', 'trauma', 'ingestion']",fungal,"['facial swelling', 'nasal congestion', 'black lesions on nose', 'fever', 'headache', 'cough']",Zygomycosis (Mucormycosis),B46
"Africa, Americas, Asia (Tropical)","['trauma', 'soil', 'water']",fungal,"['painless swelling', 'nodules', 'draining sinuses', 'grainy discharge', 'foot deformity', 'abscess']",Mycetoma,B47
Worldwide,"['inhalation', 'trauma', 'environment']",fungal,"['fever', 'cough', 'skin lesions', 'weight loss', 'fatigue', 'organ-specific symptoms']","Other mycoses, not elsewhere classified",B48
Worldwide,"['inhalation', 'contact', 'immunosuppression']",fungal,"['fever', 'cough', 'shortness of breath', 'skin rash', 'fatigue', 'headache']",Unspecified mycosis,B49
"Sub-Saharan Africa, Asia, South America","['mosquito bite', 'vector-borne', 'blood transfusion']",parasitic,"['high fever', 'chills', 'headache', 'sweats', 'nausea', 'severe anemia']",Plasmodium falciparum malaria,B50
"Asia, Latin America, some Africa","['mosquito bite', 'vector-borne', 'blood transfusion']",parasitic,"['fever', 'chills', 'sweats', 'headache', 'fatigue', 'relapsing fever']",Plasmodium vivax malaria,B51
Worldwide (Tropical/Subtropical),"['mosquito bite', 'vector-borne', 'blood transfusion']",parasitic,"['fever', 'chills', 'headache', 'muscle pain', 'fatigue', 'fever every 72 hours']",Plasmodium malariae malaria,B52
Worldwide (Tropical/Subtropical),"['mosquito bite', 'vector-borne', 'blood transfusion']",parasitic,"['fever', 'chills', 'headache', 'nausea', 'vomiting', 'fatigue']",Other specified malaria,B53
Worldwide (Tropical/Subtropical),"['mosquito bite', 'vector-borne', 'blood transfusion']",parasitic,"['fever', 'chills', 'sweating', 'headache', 'malaise', 'body aches']",Unspecified malaria,B54
"Asia, Africa, Americas (Tropical/Subtropical)","['sandfly bite', 'vector-borne', 'blood transfusion']",parasitic,"['skin sores', 'fever', 'weight loss', 'enlarged spleen', 'enlarged liver', 'anemia']",Leishmaniasis,B55
Sub-Saharan Africa,"['tsetse fly bite', 'vector-borne', 'maternal-fetal']",parasitic,"['fever', 'headaches', 'joint pains', 'itching', 'confusion', 'sleep disturbances']",African trypanosomiasis (sleeping sickness),B56
Americas,"['triatomine bug bite', 'vector-borne', 'blood transfusion']",parasitic,"['fever', 'swelling at bite', 'fatigue', 'rash', 'body aches', 'enlarged heart']",Chagas disease,B57
Worldwide,"['undercooked meat', 'cat feces', 'contaminated water']",parasitic,"['flu-like symptoms', 'swollen lymph nodes', 'muscle aches', 'headache', 'fever', 'blurred vision']",Toxoplasmosis,B58
Worldwide,"['inhalation', 'immunosuppression', 'reactivation']",fungal,"['fever', 'cough', 'shortness of breath', 'chest pain', 'fatigue', 'weight loss']",Pneumocystosis,B59
Worldwide,"['fecal-oral', 'contaminated water', 'vector-borne']",parasitic,"['diarrhea', 'abdominal cramps', 'fever', 'nausea', 'headache', 'fatigue']","Other protozoal diseases, not elsewhere classified",B60
