Geography,Transmission,DiseaseType,Symptoms,DiseaseName,ICDCode
Global,"hematogenous,direct_inoculation,contiguous_spread",bacterial,"acute_joint_pain,swelling,warmth,redness,fever,limited_range_of_motion",Pyogenic arthritis,M00
Global,"bloodborne,contiguous_spread,iatrogenic",bacterial,"joint_pain,swelling,warmth,fever,effusion,limited_motion",Direct infections of joint in diseases elsewhere,M01
Global,"noncommunicable,post_infectious_trigger,autoimmune",non-infectious,"asymmetric_arthritis,enthesitis,conjunctivitis,urethritis,heel_pain,low_back_pain",Reactive arthropathies,M02
Global,"noncommunicable,post_infectious,immune_mediated",non-infectious,"joint_pain,swelling,stiffness,fatigue,low_grade_fever,limited_motion",Postinfective arthropathies,M03
Middle East & Mediterranean,"genetic,noncommunicable,periodic",non-infectious,"recurrent_fever,serositis,rash,abdominal_pain,arthralgia,fatigue",Autoinflammatory syndromes,M04
Global,"autoimmune,noncommunicable,systemic",non-infectious,"symmetric_polyarthritis,morning_stiffness,hand_pain,swelling,fatigue,rheumatoid_nodules",Rheumatoid arthritis with rheumatoid factor,M05
Global,"autoimmune,noncommunicable,systemic",non-infectious,"joint_pain,morning_stiffness,swelling,fatigue,hand_involvement,limited_motion",Other rheumatoid arthritis,M06
Global,"autoimmune,noncommunicable,immune_mediated",non-infectious,"dactylitis,enthesitis,back_pain,skin_plaques,nail_changes,asymmetric_arthritis",Psoriatic and enteropathic arthropathies,M07
Global,"autoimmune,noncommunicable,systemic",non-infectious,"joint_swelling,morning_stiffness,fever,rash,limp,uveitis",Juvenile arthritis,M08
Global,"secondary,noncommunicable,immune_mediated",non-infectious,"joint_swelling,stiffness,fever,rash,fatigue,growth_delay",Juvenile arthritis in diseases elsewhere,M09
Oceania,"metabolic,noncommunicable,crystal_deposition",non-infectious,"acute_joint_pain,swelling,redness,tenderness,nocturnal_onset,tophi",Gout,M10
Global,"metabolic,noncommunicable,crystal_deposition",non-infectious,"joint_pain,swelling,warmth,chondrocalcinosis,stiffness,acute_flares",Other crystal arthropathies,M11
Global,"noncommunicable,mechanical,degenerative",non-infectious,"joint_pain,swelling,instability,locking,stiffness,effusion",Other specific arthropathies,M12
Global,"noncommunicable,immune_mediated,degenerative",non-infectious,"joint_pain,stiffness,swelling,fatigue,crepitus,limited_motion",Other arthritis,M13
Global,"secondary,noncommunicable,immune_mediated",non-infectious,"joint_pain,swelling,deformity,stiffness,systemic_symptoms,limited_motion",Arthropathies in diseases elsewhere,M14
Global,"degenerative,noncommunicable,mechanical",non-infectious,"joint_pain,stiffness,crepitus,decreased_function,bony_enlargement,limited_motion",Polyosteoarthritis,M15
Global,"degenerative,noncommunicable,mechanical",non-infectious,"hip_pain,stiffness,groin_pain,limp,decreased_range_of_motion,crepitus",Osteoarthritis of hip (coxarthrosis),M16
Global,"degenerative,noncommunicable,mechanical",non-infectious,"knee_pain,stiffness,swelling,crepitus,instability,limited_motion",Osteoarthritis of knee (gonarthrosis),M17
