ICD Code,Disease Name,Reported Symptoms,Geography,Transmission,Disease Type
A00,Cholera,"watery diarrhea, vomiting, rapid dehydration, muscle cramps, low blood pressure, weakness",South Asia,waterborne,bacterial
A01.0,Typhoid fever,"prolonged fever, abdominal pain, constipation or diarrhea, headache, fatigue, rose spots",South Asia,foodborne,bacterial
A02.0,Salmonella enteritis,"diarrhea, fever, abdominal cramps, nausea, vomiting, headache",Global,foodborne,bacterial
A03,Shigellosis,"bloody diarrhea, fever, abdominal pain, tenesmus, nausea, fatigue",Developing countries,fecal-oral,bacterial
A04.5,Campylobacter enteritis,"watery or bloody diarrhea, fever, abdominal pain, nausea, vomiting, malaise",Worldwide,foodborne,bacterial
A05,Other bacterial foodborne intoxications,"vomiting, diarrhea, abdominal cramps, fever, nausea, weakness",Worldwide,foodborne,bacterial
A06,Amoebiasis,"bloody diarrhea, abdominal cramps, weight loss, fatigue, fever, nausea",Tropical regions,fecal-oral,parasitic
A07.1,Giardiasis,"watery diarrhea, bloating, foul-smelling stool, fatigue, weight loss, nausea",Eastern Europe,waterborne,parasitic
A08,Viral and other specified intestinal infections,"watery diarrhea, vomiting, low-grade fever, abdominal cramps, dehydration, fatigue",Global,fecal-oral,viral
A09,Infectious gastroenteritis and colitis,"diarrhea, vomiting, abdominal pain, fever, chills, dehydration",Global,fecal-oral,bacterial
A15,Pulmonary tuberculosis,"persistent cough, fever, night sweats, weight loss, fatigue, chest pain",Sub-Saharan Africa,airborne,bacterial
A17,Tuberculosis of nervous system,"headache, fever, neck stiffness, nausea, vomiting, confusion",Sub-Saharan Africa,airborne,bacterial
A18,Tuberculosis of other organs,"fatigue, fever, weight loss, organ-specific symptoms, night sweats, weakness",Global,airborne,bacterial
A20,Plague,"sudden fever, swollen lymph nodes, chills, weakness, headache, muscle pain",Madagascar,vector-borne,bacterial
A21,Tularemia,"ulcer at infection site, fever, swollen lymph nodes, chills, fatigue, headache",North America,vector-borne,bacterial
A22,Anthrax,"fever, chest discomfort, cough, swelling, shortness of breath, black sores",Central Asia,zoonotic/contact,bacterial
A23,Brucellosis,"undulating fever, joint pain, fatigue, sweating, headache, muscle pain",Mediterranean,zoonotic,bacterial
A24,Glanders and melioidosis,"fever, chest pain, pneumonia, muscle aches, weight loss, headache",Southeast Asia,zoonotic/contact,bacterial
A25,Rat-bite fevers,"fever, vomiting, rash, muscle pain, headache, joint pain",Asia and Americas,zoonotic,bacterial
A26,Erysipeloid,"painful skin lesions, swelling, redness, fever, joint pain, headache",Occupational (fishing/meat),contact,bacterial
A27,Leptospirosis,"fever, jaundice, muscle aches, red eyes, headache, vomiting",Tropical regions,waterborne,bacterial
A28,Other zoonotic bacterial diseases,"fever, skin rash, lymphadenopathy, fatigue, nausea, organ-specific symptoms",Various,zoonotic,bacterial
A30,Leprosy,"skin lesions, numbness, muscle weakness, eye problems, thickened nerves, fatigue",India and Brazil,contact,bacterial
A31,Infections due to mycobacteria,"chronic cough, fatigue, fever, weight loss, chest pain, night sweats",Global,airborne,bacterial
A32,Listeriosis,"fever, muscle aches, nausea, diarrhea, confusion, stiff neck",Global,foodborne,bacterial
A33,Neonatal tetanus,"stiffness, spasms, difficulty feeding, fever, irritability, respiratory distress",Developing countries,contact (umbilical),bacterial
A34,Obstetrical tetanus,"muscle stiffness, spasms, difficulty breathing, high fever, sweating, anxiety",Developing countries,contact,bacterial
A35,Other tetanus,"jaw stiffness, muscle spasms, fever, sweating, difficulty swallowing, pain",Worldwide,contact,bacterial
A36,Diphtheria,"sore throat, fever, swollen glands, nasal discharge, difficulty breathing, gray membrane in throat",Low-vaccination areas,airborne,bacterial
A37,Whooping cough,"paroxysmal cough, whooping sound, vomiting after cough, fever, runny nose, fatigue",Worldwide,airborne,bacterial
